"global_step","Grouped runs - _step","Grouped runs - _step__MIN","Grouped runs - _step__MAX","Grouped runs - rollout/success_rate","Grouped runs - rollout/success_rate__MIN","Grouped runs - rollout/success_rate__MAX"
"112000","27","27","27","0.7750000059604645","0.699999988079071","0.8500000238418579"
"116000","28","28","28","0.7700000107288361","0.6899999976158142","0.8500000238418579"
"120000","29","29","29","0.7599999904632568","0.6800000071525574","0.8399999737739563"
"124000","30","30","30","0.7549999952316284","0.6899999976158142","0.8199999928474426"
"128000","31","31","31","0.7400000095367432","0.6600000262260437","0.8199999928474426"
"132000","32","32","32","0.7450000047683716","0.6600000262260437","0.8299999833106995"
"136000","33","33","33","0.7400000095367432","0.6299999952316284","0.8500000238418579"
"140000","34","34","34","0.7299999892711639","0.6200000047683716","0.8399999737739563"
"144000","35","35","35","0.7199999988079071","0.6100000143051147","0.8299999833106995"
"148000","36","36","36","0.7300000190734863","0.6000000238418579","0.8600000143051147"
"152000","37","37","37","0.7400000095367432","0.6000000238418579","0.8799999952316284"
"156000","38","38","38","0.75","0.6000000238418579","0.8999999761581421"
"160000","39","39","39","0.7599999904632568","0.6299999952316284","0.8899999856948853"
"164000","40","40","40","0.75","0.6200000047683716","0.8799999952316284"
"168000","41","41","41","0.7600000202655792","0.6600000262260437","0.8600000143051147"
"172000","42","42","42","0.7699999809265137","0.6499999761581421","0.8899999856948853"
"176000","43","43","43","0.7750000059604645","0.6600000262260437","0.8899999856948853"
"180000","44","44","44","0.7599999904632568","0.6499999761581421","0.8700000047683716"
"184000","45","45","45","0.7549999952316284","0.6399999856948853","0.8700000047683716"
"188000","46","46","46","0.75","0.6499999761581421","0.8500000238418579"
"192000","47","47","47","0.7600000202655792","0.6600000262260437","0.8600000143051147"
"196000","48","48","48","0.7550000250339508","0.6600000262260437","0.8500000238418579"
"200000","49","49","49","0.7549999952316284","0.6700000166893005","0.8399999737739563"
"204000","50","50","50","0.7349999845027924","0.6499999761581421","0.8199999928474426"
"208000","51","51","51","0.7199999988079071","0.6399999856948853","0.800000011920929"
"212000","52","52","52","0.7399999797344208","0.6499999761581421","0.8299999833106995"
"216000","53","53","53","0.7399999797344208","0.6499999761581421","0.8299999833106995"
"220000","54","54","54","0.7350000143051147","0.6600000262260437","0.8100000023841858"
"224000","55","55","55","0.7299999892711639","0.6800000071525574","0.7799999713897705"
"228000","56","56","56","0.7400000095367432","0.6899999976158142","0.7900000214576721"
"232000","57","57","57","0.7549999952316284","0.699999988079071","0.8100000023841858"
"236000","58","58","58","0.7750000059604645","0.7400000095367432","0.8100000023841858"
"240000","59","59","59","0.7800000011920929","0.75","0.8100000023841858"
"244000","60","60","60","0.7999999821186066","0.7699999809265137","0.8299999833106995"
"248000","61","61","61","0.7949999868869781","0.75","0.8399999737739563"
"252000","62","62","62","0.8099999725818634","0.7799999713897705","0.8399999737739563"
"256000","63","63","63","0.8149999976158142","0.7799999713897705","0.8500000238418579"
"260000","64","64","64","0.8199999928474426","0.7799999713897705","0.8600000143051147"
"264000","65","65","65","0.8100000023841858","0.75","0.8700000047683716"
"268000","66","66","66","0.8100000023841858","0.75","0.8700000047683716"
"272000","67","67","67","0.8199999928474426","0.7400000095367432","0.8999999761581421"
"276000","68","68","68","0.8149999976158142","0.7400000095367432","0.8899999856948853"
"280000","69","69","69","0.8299999833106995","0.7599999904632568","0.8999999761581421"
"284000","70","70","70","0.824999988079071","0.75","0.8999999761581421"
"288000","71","71","71","0.8199999928474426","0.7400000095367432","0.8999999761581421"
"292000","72","72","72","0.824999988079071","0.75","0.8999999761581421"
"296000","73","73","73","0.824999988079071","0.7699999809265137","0.8799999952316284"
"300000","74","74","74","0.8100000023841858","0.7699999809265137","0.8500000238418579"
"304000","75","75","75","0.7950000166893005","0.7400000095367432","0.8500000238418579"
"308000","76","76","76","0.804999977350235","0.7699999809265137","0.8399999737739563"
"312000","77","77","77","0.8149999976158142","0.7900000214576721","0.8399999737739563"
"316000","78","78","78","0.8300000131130219","0.8100000023841858","0.8500000238418579"
"320000","79","79","79","0.824999988079071","0.8100000023841858","0.8399999737739563"
"324000","80","80","80","0.8400000035762787","0.8299999833106995","0.8500000238418579"
"328000","81","81","81","0.8449999988079071","0.8399999737739563","0.8500000238418579"
"332000","82","82","82","0.824999988079071","0.8199999928474426","0.8299999833106995"
"336000","83","83","83","0.8349999785423279","0.8299999833106995","0.8399999737739563"
