Wall time,Step,Value
1730093227.0560408,129272,0.03999999910593033
1730093229.5005555,129536,0.029999999329447746
1730093240.9429853,130760,0.05999999865889549
1730093245.5264218,131288,0.05999999865889549
1730093260.130418,132688,0.07999999821186066
1730093261.6054544,132792,0.07999999821186066
1730093267.984825,133384,0.07999999821186066
1730093305.1034386,136736,0.10999999940395355
1730093319.0389588,138264,0.10999999940395355
1730093342.9179018,140744,0.12999999523162842
1730093345.173435,140968,0.12999999523162842
1730093361.2352376,142752,0.14000000059604645
1730093364.0483105,142992,0.14000000059604645
1730093370.211318,143664,0.12999999523162842
1730093376.0628397,144336,0.12999999523162842
1730093389.1241932,145672,0.11999999731779099
1730093419.3948047,148872,0.11999999731779099
1730093420.9592102,149024,0.11999999731779099
1730093425.5375557,149560,0.11999999731779099
1730093427.4903004,149712,0.12999999523162842
1730093438.2633584,150904,0.12999999523162842
1730093459.1606221,152904,0.15000000596046448
1730093480.6533952,155152,0.1899999976158142
1730093485.6233168,155640,0.20000000298023224
1730093487.5912478,155784,0.1899999976158142
1730093491.7741435,156272,0.1899999976158142
1730093498.2018209,156960,0.18000000715255737
1730093500.3140092,157152,0.17000000178813934
1730093510.5812387,158272,0.14000000059604645
1730093514.093336,158520,0.1599999964237213
1730093531.1233163,160296,0.1599999964237213
1730093534.6161566,160616,0.1599999964237213
1730093547.406406,161976,0.12999999523162842
1730093571.5209801,164360,0.10999999940395355
1730093580.3350213,165392,0.11999999731779099
1730093583.4541113,165704,0.12999999523162842
1730093589.4684248,166392,0.15000000596046448
1730093595.9086316,167080,0.15000000596046448
1730093605.8858743,168040,0.14000000059604645
1730093640.9113295,171768,0.15000000596046448
1730093649.9740396,172768,0.15000000596046448
1730093653.9762132,173152,0.12999999523162842
1730093657.1218128,173456,0.12999999523162842
1730093662.9819164,174112,0.12999999523162842
1730093669.630879,174816,0.11999999731779099
1730093672.5356996,175168,0.11999999731779099
1730093678.033887,175848,0.10999999940395355
1730093693.5070064,177504,0.10000000149011612
1730093696.9526484,177872,0.09000000357627869
1730093716.5227695,179880,0.12999999523162842
1730093722.682786,180528,0.14000000059604645
1730093725.8804183,180864,0.14000000059604645
1730093729.3042483,181208,0.14000000059604645
1730093732.7675266,181592,0.14000000059604645
1730093735.870234,181880,0.14000000059604645
1730093739.3354511,182272,0.15000000596046448
1730093746.5452633,182928,0.14000000059604645
1730093749.065922,183176,0.14000000059604645
1730093752.860136,183600,0.15000000596046448
1730093767.2298322,185168,0.15000000596046448
1730093771.487061,185616,0.1599999964237213
1730093773.565734,185848,0.15000000596046448
1730093781.2848582,186520,0.12999999523162842
1730093793.479305,187888,0.10999999940395355
1730093801.0611372,188600,0.10000000149011612
1730093807.2758625,189232,0.10000000149011612
1730093818.8994317,190560,0.09000000357627869
1730093822.54629,190976,0.10000000149011612
1730093825.984962,191232,0.10000000149011612
1730093839.1569254,192584,0.10000000149011612
1730093853.8300056,193976,0.10000000149011612
1730093856.5148013,194264,0.10000000149011612
1730093866.4842181,195304,0.10999999940395355
1730093873.30771,195968,0.15000000596046448
1730093876.6983016,196336,0.15000000596046448
1730093879.7038474,196664,0.14000000059604645
1730093882.6776493,197008,0.15000000596046448
1730093886.0323796,197328,0.15000000596046448
1730093889.0869248,197680,0.15000000596046448
1730093895.053329,198376,0.1599999964237213
1730093898.1019807,198696,0.1599999964237213
1730093916.1480062,200384,0.17000000178813934
1730093918.9760644,200704,0.1599999964237213
1730093928.6146545,201744,0.12999999523162842
1730093931.5864458,202048,0.12999999523162842
1730093941.3239021,203104,0.11999999731779099
1730093947.9530315,203776,0.11999999731779099
1730093960.982582,205104,0.09000000357627869
1730093967.1647835,205824,0.10999999940395355
1730093974.1598551,206496,0.12999999523162842
1730093980.3665178,207168,0.12999999523162842
1730093988.7445996,208088,0.11999999731779099
1730094001.189603,209464,0.09000000357627869
1730094005.4211664,209840,0.09000000357627869
1730094012.1542518,210496,0.10999999940395355
1730094021.6382825,211512,0.11999999731779099
1730094034.6681347,212896,0.10999999940395355
1730094050.795718,214536,0.10999999940395355
1730094073.3702338,216952,0.10999999940395355
1730094077.010875,217248,0.11999999731779099
1730094083.1237097,217880,0.11999999731779099
1730094086.7580938,218264,0.12999999523162842
1730094089.628956,218568,0.12999999523162842
1730094092.9160771,218912,0.10999999940395355
1730094097.2233436,219256,0.11999999731779099
1730094100.5537412,219584,0.11999999731779099
1730094109.592168,220592,0.11999999731779099
1730094121.6803057,221920,0.14000000059604645
1730094125.6724932,222304,0.11999999731779099
1730094137.6133504,223680,0.15000000596046448
1730094148.3165762,224664,0.17000000178813934
1730094154.7349305,225344,0.17000000178813934
1730094161.349931,226032,0.17000000178813934
1730094170.9485695,227104,0.18000000715255737
1730094173.7855918,227392,0.18000000715255737
1730094177.2658236,227768,0.1599999964237213
1730094180.3527026,228072,0.17000000178813934
1730094183.910596,228448,0.17000000178813934
1730094190.3566525,229136,0.17000000178813934
1730094193.6173446,229448,0.18000000715255737
1730094197.3368094,229816,0.18000000715255737
1730094203.649396,230496,0.1899999976158142
1730094207.6664724,230840,0.1899999976158142
1730094210.8156052,231184,0.18000000715255737
1730094213.6361108,231488,0.15000000596046448
1730094217.4397292,231864,0.14000000059604645
1730094220.025268,232176,0.14000000059604645
1730094225.8559144,232864,0.11999999731779099
1730094229.632455,233176,0.11999999731779099
1730094252.2649894,235528,0.14000000059604645
1730094262.4037824,236584,0.17000000178813934
1730094264.8921554,236840,0.17000000178813934
1730094269.1332388,237272,0.1599999964237213
1730094274.4393842,237888,0.1599999964237213
1730094283.192425,238840,0.15000000596046448
1730094290.4898546,239520,0.15000000596046448
1730094297.23064,240200,0.1599999964237213
1730094308.3519037,241536,0.1899999976158142
1730094321.357198,242888,0.1899999976158142
1730094333.8457208,244064,0.1899999976158142
1730094335.6175508,244200,0.20000000298023224
1730094339.6214318,244680,0.1899999976158142
1730094341.6717415,244872,0.18000000715255737
1730094346.350955,245384,0.1899999976158142
1730094361.7268472,246912,0.20000000298023224
1730094381.9298804,248952,0.1899999976158142
1730094388.9727411,249624,0.1899999976158142
1730094393.1588876,250048,0.18000000715255737
1730094395.9196484,250296,0.20000000298023224
1730094399.9377432,250760,0.20000000298023224
1730094406.7658162,251432,0.1899999976158142
1730094416.3392062,252328,0.20999999344348907
1730094419.9721205,252784,0.20000000298023224
1730094428.5233433,253688,0.2199999988079071
1730094435.6546264,254104,0.23000000417232513
1730094438.2102804,254376,0.25
1730094444.7602913,255048,0.25999999046325684
1730094450.6357207,255704,0.25999999046325684
1730094469.9151387,257736,0.3199999928474426
1730094479.3915994,258800,0.33000001311302185
1730094482.005079,259096,0.3199999928474426
1730094493.024307,260144,0.3400000035762787
1730094495.6618998,260440,0.3199999928474426
1730094498.7952726,260816,0.3199999928474426
1730094506.2500587,261504,0.3100000023841858
1730094509.2171676,261840,0.30000001192092896
1730094512.1004975,262192,0.30000001192092896
1730094527.0360746,263824,0.28999999165534973
1730094540.1351423,265168,0.27000001072883606
1730094544.576913,265664,0.27000001072883606
1730094551.1446497,266344,0.27000001072883606
1730094556.95542,267016,0.27000001072883606
1730094563.1778102,267688,0.25999999046325684
1730094565.0217838,267816,0.25999999046325684
1730094569.062274,268360,0.25
1730094570.7548246,268488,0.23000000417232513
1730094576.5021381,269024,0.2199999988079071
1730094578.6729956,269168,0.2199999988079071
1730094585.121476,269864,0.2199999988079071
1730094591.7804692,270560,0.2199999988079071
1730094599.0438836,271232,0.20000000298023224
1730094609.6546128,272424,0.17000000178813934
1730094615.7255614,273104,0.17000000178813934
1730094617.449025,273256,0.17000000178813934
1730094621.4941041,273776,0.18000000715255737
1730094633.4683762,275088,0.20000000298023224
